id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
1451202,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,15,"$3,181.86",Entire home/apt,1,1,1
2345959,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.5,"$2,136.14",Private room,4,4,3
26087141,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.78,"$3,576.04",Private room,1,1,1
26314590,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.35,"$2,635.39",Private room,1,1,1
17031042,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,16.44,"$3,352.24",Private room,1,1,2
21080873,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.71,"$3,133.40",Private room,1,1,1
15473801,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.79,"$2,735.50",Private room,1,1,1
10864615,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.86,"$1,529.30",Private room,1,1,1
4278650,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.58,"$2,738.05",Private room,1,1,1
24859207,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.06,"$2,949.85",Private room,1,1,1
22518773,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,19.2,$7299.72,Private room,1,3,6
4164430,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.95,"$2,511.16",Private room,1,1,1
25432662,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.98,"$2,821.92",Private room,1,1,1
31195850,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.96,"$2,491.84",Private room,1,0,1
20195913,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,17.95,"$5,219.97",Private room,1,1,1
21031297,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.87,"$3,417.99",Private room,1,1,2
31398161,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.9,"$2,674.80",Private room,2,2,2
11345789,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,17.45,"$2,406.36",Private room,1,1,2
